date,CA,TX,WI,CA_1,CA_2,CA_3,CA_4,TX_1,TX_2,TX_3,WI_1,WI_2,WI_3,total
2011-02-27,9196,6555,5489,2246,1894,3604,1452,1985,2548,2022,1327,1537,2625,21240
2011-02-28,9782,7082,6008,2549,1958,3846,1429,1967,3023,2092,1352,1667,2989,22872
2011-03-01,9537,6145,6364,2559,1837,3821,1320,1860,2383,1902,1279,1735,3350,22046
2011-03-02,9710,6639,7126,2568,2010,3757,1375,2052,2545,2042,1338,1946,3842,23475
2011-03-03,10444,6584,6544,2978,2105,3904,1457,1753,2718,2113,1560,1659,3325,23572
2011-03-04,13784,9238,8180,4096,3199,4894,1595,2642,3627,2969,1867,1967,4346,31202
2011-03-05,16057,10423,8396,4832,3272,5895,2058,3031,4379,3013,1996,1894,4506,34876
2011-03-06,10953,7623,5986,3138,1970,4274,1571,2272,2954,2397,1453,1635,2898,24562
2011-03-07,10299,6335,6118,2997,1800,4084,1418,1788,2495,2052,1359,1691,3068,22752
2011-03-08,9951,6941,5668,2772,2064,3754,1361,2180,2705,2056,1157,1480,3031,22560
2011-03-09,10012,6339,6275,2650,2041,3898,1423,1779,2613,1947,1521,1514,3240,22626
2011-03-10,11189,7203,7180,3249,2375,4108,1457,2073,2968,2162,1897,1699,3584,25572
2011-03-11,13710,9271,9244,4114,3114,4823,1659,2800,3704,2767,2351,2480,4413,32225
2011-03-12,14340,9542,7535,4094,3224,5342,1680,2737,3869,2936,1847,1935,3753,31417
2011-03-13,10722,7745,6468,2880,2044,4231,1567,2277,3296,2172,1386,1759,3323,24935
2011-03-14,9293,7834,6894,2384,1969,3624,1316,2614,3052,2168,1579,1763,3552,24021
2011-03-15,9752,6768,6245,2522,2082,3767,1381,1987,2719,2062,1530,1650,3065,22765
2011-03-16,9504,6759,5516,2435,2234,3653,1182,2117,2642,2000,1441,1454,2621,21779
2011-03-17,10030,7131,6694,2744,2227,3562,1497,2121,2889,2121,1874,1675,3145,23855
2011-03-18,14509,8203,7887,4142,3554,5235,1578,2423,3457,2323,2271,1910,3706,30599
2011-03-19,14112,8992,6539,3904,3431,5181,1596,2669,3533,2790,1516,1556,3467,29643
2011-03-20,10255,7075,5771,2635,2018,4154,1448,2074,2764,2237,1496,1426,2849,23101
2011-03-21,9383,6086,5023,2458,2045,3664,1216,1858,2313,1915,1359,1428,2236,20492
2011-03-22,8490,5914,4826,2079,1908,3255,1248,1780,2208,1926,1245,1351,2230,19230
2011-03-23,7889,5898,5067,2281,1718,2814,1076,1859,2290,1749,1427,1306,2334,18854
2011-03-24,11011,6249,6090,2740,2697,4085,1489,1982,2412,1855,1808,1435,2847,23350
2011-03-25,13816,8072,7732,3899,3310,4991,1616,2392,3195,2485,2277,1826,3629,29620
2011-03-26,13661,9434,6771,3999,3223,4850,1589,2817,3759,2858,1879,1516,3376,29866
2011-03-27,9997,6429,5023,2780,2179,3692,1346,1792,2638,1999,1295,1269,2459,21449
2011-03-28,8516,5728,5337,2167,2107,3028,1214,1705,2276,1747,1293,1504,2540,19581
2011-03-29,8911,5384,4633,2247,1887,3518,1259,1706,2055,1623,1489,1323,1821,18928
2011-03-30,10059,6096,5587,2576,2362,3640,1481,1783,2421,1892,1605,1660,2322,21742
2011-03-31,12827,7992,7490,3500,2979,4599,1749,2698,2970,2324,1952,2067,3471,28309
2011-04-01,14791,9134,9553,4325,3503,5265,1698,2781,3493,2860,2516,2428,4609,33478
2011-04-02,15341,9863,7854,4396,3346,5680,1919,2919,3850,3094,1911,1780,4163,33058
2011-04-03,12356,6648,5848,3642,2210,4921,1583,1997,2524,2127,1354,1561,2933,24852
2011-04-04,10497,6743,6341,2784,2291,3936,1486,2119,2608,2016,1481,1725,3135,23581
2011-04-05,10101,6689,5866,2602,2004,4062,1433,1966,2787,1936,1377,1528,2961,22656
2011-04-06,10575,7201,5125,2976,2158,4052,1389,2131,2893,2177,1245,1448,2432,22901
2011-04-07,10971,6797,6986,3294,2305,3918,1454,2109,2621,2067,1677,1864,3445,24754
2011-04-08,14064,9025,8656,4083,3383,4957,1641,2924,3473,2628,2184,2246,4226,31745
2011-04-09,15291,9648,6597,4194,3416,5728,1953,3057,3942,2649,1660,1440,3497,31536
2011-04-10,11098,7555,6176,3015,2237,4123,1723,2294,2939,2322,1489,1581,3106,24829
2011-04-11,9181,7302,6735,2512,1868,3466,1335,2160,2921,2221,1448,1935,3352,23218
2011-04-12,8853,7202,5556,2217,1856,3561,1219,2325,2805,2072,1366,1515,2675,21611
2011-04-13,9430,6338,6196,2520,1985,3616,1309,1859,2584,1895,1435,1750,3011,21964
2011-04-14,10922,7749,6811,2867,2298,4293,1464,2402,3062,2285,1562,1645,3604,25482
2011-04-15,12809,8573,7852,3571,3175,4457,1606,2520,3317,2736,2042,2017,3793,29234
2011-04-16,13894,9248,6645,4084,3133,4819,1858,2677,3694,2877,1693,1417,3535,29787
2011-04-17,9955,7218,5216,2760,1943,3922,1330,2019,2972,2227,1202,1286,2728,22389
2011-04-18,8930,6133,4411,2234,1990,3423,1283,1827,2382,1924,1183,1135,2093,19474
2011-04-19,8582,6387,5219,2261,1754,3306,1261,1913,2511,1963,1327,1306,2586,20188
2011-04-20,8986,5677,5105,2487,1958,3366,1175,1744,2227,1706,1350,1348,2407,19768
2011-04-21,10967,7542,5770,3155,2359,3939,1514,2114,3012,2416,1621,1392,2757,24279
2011-04-22,13577,8833,7165,4187,3000,4577,1813,2304,3664,2865,1868,1730,3567,29575
2011-04-23,11721,7897,4400,2946,2834,4482,1459,2451,3307,2139,971,949,2480,24018
2011-04-24,8865,6339,4800,2439,1952,3336,1138,1832,2572,1935,1295,1245,2260,20004
2011-04-25,8176,5535,4402,2085,1845,3145,1101,1777,2077,1681,1203,1219,1980,18113
2011-04-26,8135,5369,4425,2096,1851,3062,1126,1653,2112,1604,1125,1288,2012,17929
2011-04-27,7951,5372,4822,2086,1810,2930,1125,1438,2225,1709,1390,1254,2178,18145
2011-04-28,9730,6432,6573,2675,2309,3240,1506,1848,2764,1820,1803,1675,3095,22735
2011-04-29,12428,8240,7433,3560,3051,4247,1570,2577,3375,2288,2168,1877,3388,28101
2011-04-30,12997,9644,6404,3668,2958,4569,1802,3053,3931,2660,1726,1639,3039,29045
2011-05-01,10657,6125,6055,2911,1958,4245,1543,1857,2443,1825,1261,1615,3179,22837
2011-05-02,10669,6937,6474,2839,2002,4349,1479,2125,2587,2225,1466,1697,3311,24080
2011-05-03,9596,5771,5394,2610,1826,3822,1338,1679,2400,1692,1291,1623,2480,20761
2011-05-04,9281,6372,5531,2384,2010,3611,1276,2058,2452,1862,1406,1460,2665,21184
2011-05-05,10617,7924,5945,3125,2223,3772,1497,2939,2804,2181,1469,1424,3052,24486
2011-05-06,12386,8863,7163,3816,2607,4455,1508,2865,3417,2581,2006,1770,3387,28412
2011-05-07,11231,7440,5017,3033,2656,4217,1325,2412,2798,2230,1210,1276,2531,23688
2011-05-08,11264,8001,5759,3069,2064,4498,1633,2482,3246,2273,1169,1573,3017,25024
2011-05-09,10430,6523,5278,2985,1831,3993,1621,2178,2515,1830,1339,1456,2483,22231
2011-05-10,9570,6755,5840,2629,1837,3657,1447,1957,2570,2228,1260,1497,3083,22165
2011-05-11,9312,6708,6393,2277,2045,3696,1294,2093,2540,2075,1432,1790,3171,22413
2011-05-12,10978,8231,6439,3008,2416,3934,1620,2581,3069,2581,1815,1556,3068,25648
2011-05-13,12496,8663,7577,3754,3072,4094,1576,2590,3572,2501,1926,1923,3728,28736
2011-05-14,13549,10237,7534,3822,3047,4897,1783,3136,4038,3063,1838,1628,4068,31320
2011-05-15,9542,7141,5530,2582,1872,3806,1282,2248,2745,2148,1384,1361,2785,22213
2011-05-16,8492,6179,4942,2144,1794,3297,1257,1956,2365,1858,1327,1331,2284,19613
2011-05-17,8258,5787,4725,2174,1718,3173,1193,1706,2341,1740,1404,1258,2063,18770
2011-05-18,8410,5680,4594,2168,1876,3172,1194,1691,2273,1716,1206,1201,2187,18684
2011-05-19,9809,6337,5503,2664,2213,3551,1381,2054,2341,1942,1553,1389,2561,21649
2011-05-20,12007,8288,6817,3463,2742,4247,1555,2507,3161,2620,2070,1656,3091,27112
2011-05-21,12301,8518,5427,3597,2600,4475,1629,2472,3454,2592,1473,1144,2810,26246
2011-05-22,9346,6545,5063,2461,1877,3637,1371,1889,2659,1997,1264,1315,2484,20954
2011-05-23,8541,5813,4849,2160,1691,3364,1326,1633,2204,1976,1266,1270,2313,19203
2011-05-24,8835,5958,4265,2251,1786,3429,1369,1809,2300,1849,1208,1233,1824,19058
2011-05-25,9176,6283,5021,2296,2081,3501,1298,1769,2424,2090,1351,1446,2224,20480
2011-05-26,10231,6343,5907,2642,2476,3707,1406,1809,2508,2026,1548,1556,2803,22481
2011-05-27,10959,8286,6282,3214,2459,3920,1366,2245,3383,2658,1835,1588,2859,25527
2011-05-28,11115,7251,5083,3202,2539,3951,1423,2286,2670,2295,1335,1126,2622,23449
2011-05-29,10768,7152,4618,2884,2336,4103,1445,2072,2743,2337,1158,1243,2217,22538
2011-05-30,8743,5865,4947,2156,1693,3569,1325,1769,2175,1921,1273,1443,2231,19555
2011-05-31,9662,7780,5723,2529,1720,4210,1203,2528,2906,2346,1404,1728,2591,23165
2011-06-01,9889,6662,6130,2652,2022,3896,1319,2036,2540,2086,1349,1636,3145,22681
2011-06-02,11788,8130,6863,3200,2276,4681,1631,2641,2864,2625,1748,1975,3140,26781
2011-06-03,13730,8753,7827,3942,2737,5390,1661,2661,3355,2737,2078,2148,3601,30310
2011-06-04,13997,9712,7895,3871,2961,5440,1725,2916,3871,2925,1672,2176,4047,31604
2011-06-05,11171,8655,6859,3056,1940,4502,1673,2403,3370,2882,1476,2129,3254,26685
2011-06-06,10489,7955,6645,2763,1973,4292,1461,2509,2941,2505,1472,2110,3063,25089
2011-06-07,10606,7409,6438,2884,2027,4427,1268,2156,2833,2420,1356,1907,3175,24453
2011-06-08,10266,7772,6744,2787,2135,4008,1336,2446,2884,2442,1427,2038,3279,24782
2011-06-09,12188,7823,6408,3420,2534,4662,1572,2263,3189,2371,1606,1725,3077,26419
2011-06-10,12534,9628,7778,3588,2824,4438,1684,2829,3603,3196,1999,2090,3689,29940
2011-06-11,13616,10570,6908,3569,2988,5380,1679,2999,4267,3304,1623,1724,3561,31094
2011-06-12,11284,8731,5737,3149,2185,4419,1531,2597,3434,2700,1288,1479,2970,25752
2011-06-13,10400,7320,6435,2894,2102,4034,1370,2174,2675,2471,1548,1780,3107,24155
2011-06-14,10380,8142,6736,2679,2086,4133,1482,2347,3134,2661,1441,1918,3377,25258
2011-06-15,9936,6941,5829,2535,2288,3831,1282,2002,2609,2330,1517,1608,2704,22706
2011-06-16,10661,7876,6175,2971,2362,3935,1393,2279,2998,2599,1549,1557,3069,24712
2011-06-17,12745,9080,7000,3896,2759,4537,1553,2581,3494,3005,2087,1793,3120,28825
2011-06-18,11822,8521,5763,3109,2568,4656,1489,2549,3178,2794,1633,1318,2812,26106
2011-06-19,11173,7684,5404,2848,2307,4538,1480,2395,2992,2297,1406,1595,2403,24261
2011-06-20,10049,6636,5125,2936,2064,4255,794,2059,2392,2185,1262,1519,2344,21810
2011-06-21,10125,5859,5417,2557,2018,4173,1377,1560,2233,2066,1547,1497,2373,21401
2011-06-22,10442,7007,5331,2624,2248,4011,1559,2141,2665,2201,1490,1465,2376,22780
2011-06-23,11207,7327,6104,3071,2436,4247,1453,2157,2781,2389,1658,1686,2760,24638
2011-06-24,12037,8300,6145,3354,2853,4386,1444,2490,3232,2578,1824,1599,2722,26482
2011-06-25,13032,9188,5448,3672,2916,4876,1568,2727,3342,3119,1477,1276,2695,27668
2011-06-26,10458,7157,5027,2912,2106,3891,1549,2151,2672,2334,1440,1310,2277,22642
2011-06-27,8483,6520,4797,2200,1683,3347,1253,1804,2512,2204,1491,1253,2053,19800
2011-06-28,8956,6162,4812,2166,2044,3560,1186,1728,2497,1937,1384,1293,2135,19930
2011-06-29,9822,6353,5276,2542,2218,3712,1350,1817,2451,2085,1524,1405,2347,21451
2011-06-30,13455,9592,7986,3681,2816,5341,1617,3055,3517,3020,2120,2304,3562,31033
2011-07-01,14988,9559,8454,4276,3308,5633,1771,2740,3593,3226,2184,2092,4178,33001
2011-07-02,13502,9194,6477,3885,2803,5170,1644,2720,3289,3185,1434,1581,3462,29173
2011-07-03,10583,7983,4467,2672,2337,4129,1445,2282,2998,2703,968,1154,2345,23033
2011-07-04,11916,8431,6249,3177,2407,4780,1552,2423,3247,2761,1495,1611,3143,26596
2011-07-05,12365,7508,6729,3542,2348,4939,1536,2478,2783,2247,1541,1840,3348,26602
2011-07-06,12070,8617,6040,3362,2293,4894,1521,2694,3065,2858,1503,1745,2792,26727
2011-07-07,12505,7928,7246,3252,2855,4696,1702,2420,2997,2511,1922,1916,3408,27679
2011-07-08,14046,10024,8416,3923,3125,5419,1579,2921,3927,3176,2199,2224,3993,32486
2011-07-09,14520,9895,7124,4286,3091,5413,1730,2797,3682,3416,1737,1848,3539,31539
2011-07-10,10926,8868,6798,2785,2165,4581,1395,2629,3237,3002,1325,1726,3747,26592
2011-07-11,9697,7968,6967,2380,1982,4002,1333,2452,2940,2576,1469,1977,3521,24632
2011-07-12,9553,8087,5805,2501,2036,3718,1298,2539,3027,2521,1417,1705,2683,23445
2011-07-13,9800,7225,6422,2467,2132,3845,1356,2059,2798,2368,1330,1836,3256,23447
2011-07-14,10931,8809,7609,2922,2471,4043,1495,2683,3347,2779,1646,2116,3847,27349
2011-07-15,13438,9541,7890,3688,3204,4931,1615,2747,3638,3156,2029,2087,3774,30869
2011-07-16,13484,9758,7092,3587,3005,5104,1788,2902,3602,3254,1719,1808,3565,30334
2011-07-17,10834,7794,6011,2936,2336,4060,1502,2313,2773,2708,1358,1627,3026,24639
2011-07-18,9406,6577,5948,2373,1976,3715,1342,2117,2491,1969,1381,1726,2841,21931
2011-07-19,9930,6950,5607,2511,2087,3850,1482,1937,2878,2135,1385,1643,2579,22487
2011-07-20,10209,6885,5684,2585,2360,3879,1385,1951,2612,2322,1502,1571,2611,22778
2011-07-21,11621,7789,6946,3069,2561,4516,1475,2278,3047,2464,1737,1784,3425,26356
2011-07-22,13827,9133,7324,3851,3244,5212,1520,2573,3706,2854,1994,1956,3374,30284
2011-07-23,13467,9310,6022,3773,3111,5023,1560,2641,3557,3112,1462,1516,3044,28799
2011-07-24,10083,7536,5276,2762,2119,3804,1398,2100,2888,2548,1408,1442,2426,22895
2011-07-25,9377,6582,5236,2322,1988,3671,1396,1983,2490,2109,1272,1649,2315,21195
2011-07-26,9379,6447,4678,2337,2209,3548,1285,1843,2428,2176,1285,1372,2021,20504
2011-07-27,9548,6597,5098,2518,2088,3636,1306,1902,2511,2184,1402,1424,2272,21243
2011-07-28,11085,7294,6163,2915,2639,3956,1575,2112,2936,2246,1556,1641,2966,24542
2011-07-29,12797,8868,7288,2930,3218,4923,1726,2336,3609,2923,2052,1889,3347,28953
2011-07-30,12841,9379,6457,3493,2742,4946,1660,2625,3463,3291,1615,1616,3226,28677
2011-07-31,11381,9139,6087,2860,2385,4609,1527,2635,3439,3065,1367,1709,3011,26607
2011-08-01,11236,7367,6872,3018,2117,4684,1417,2210,2641,2516,1429,1791,3652,25475
2011-08-02,11280,8535,7422,2919,2245,4721,1395,2650,3132,2753,1426,1936,4060,27237
2011-08-03,10499,7618,5596,3003,1948,4252,1296,2209,2832,2577,1292,1589,2715,23713
2011-08-04,11494,8380,6720,3450,2400,4320,1324,2570,3093,2717,1398,1914,3408,26594
2011-08-05,13371,10505,8083,3818,2992,4990,1571,3315,4020,3170,1802,1894,4387,31959
2011-08-06,14111,11146,6749,3930,2853,5728,1600,3244,4181,3721,1659,1471,3619,32006
2011-08-07,11813,8302,6239,3246,2092,5012,1463,2368,3262,2672,1252,1580,3407,26354
2011-08-08,11441,8178,6594,2862,2166,5011,1402,2520,3188,2470,1407,1743,3444,26213
2011-08-09,11556,7266,5756,2699,2208,5365,1284,2119,2931,2216,1526,1518,2712,24578
2011-08-10,10370,7950,6388,2728,2193,4019,1430,2375,3070,2505,1408,1753,3227,24708
2011-08-11,11918,9338,7288,3292,2538,4507,1581,2810,3711,2817,1489,1749,4050,28544
2011-08-12,14227,11454,7322,4077,3183,5190,1777,3636,4225,3593,2026,1690,3606,33003
2011-08-13,15256,11302,7351,4202,3151,6062,1841,3223,4221,3858,1592,1808,3951,33909
2011-08-14,11723,9825,6963,2879,2244,5048,1552,2762,3844,3219,1405,1734,3824,28511
2011-08-15,11037,8152,6077,2718,2195,4799,1325,2411,3213,2528,1388,1515,3174,25266
2011-08-16,10163,7827,5691,2577,2071,4061,1454,2430,2964,2433,1492,1449,2750,23681
2011-08-17,10282,7770,5324,2574,2147,4081,1480,2308,2926,2536,1289,1446,2589,23376
2011-08-18,11451,8829,6724,3080,2366,4498,1507,2592,3402,2835,1679,1612,3433,27004
2011-08-19,14025,11170,7063,3702,3142,5444,1737,3366,4309,3495,1863,1747,3453,32258
2011-08-20,15415,12340,6218,4462,3323,5680,1950,3882,4454,4004,1492,1537,3189,33973
2011-08-21,11166,8584,5574,2722,2100,4769,1575,2551,3217,2816,1174,1549,2851,25324
2011-08-22,10026,7483,5108,2217,2197,4244,1368,2125,2844,2514,1326,1433,2349,22617
2011-08-23,9921,6530,5484,2440,2006,4066,1409,2029,2384,2117,1398,1579,2507,21935
2011-08-24,9527,6464,5423,2483,1968,3618,1458,1877,2583,2004,1494,1526,2403,21414
2011-08-25,10979,7184,6105,2873,2378,4172,1556,2014,2798,2372,1558,1614,2933,24268
2011-08-26,13649,9774,6960,3769,3359,4913,1608,2866,3729,3179,1866,1931,3163,30383
2011-08-27,14060,10547,6019,3701,3154,5280,1925,3061,3992,3494,1533,1620,2866,30626
2011-08-28,9890,7054,5141,2407,2069,3969,1445,1999,2742,2313,1403,1429,2309,22085
2011-08-29,8931,6258,5161,2114,1878,3696,1243,1833,2470,1955,1445,1495,2221,20350
2011-08-30,9238,6378,6107,2291,2061,3568,1318,1769,2747,1862,1805,1711,2591,21723
2011-08-31,10865,8827,6607,2668,2112,4490,1595,2931,3257,2639,1666,2014,2927,26299
2011-09-01,12472,8211,8525,3412,2431,5010,1619,2385,3179,2647,2028,2225,4272,29208
2011-09-02,14568,10987,8477,4127,3068,5348,2025,3438,4079,3470,2002,1888,4587,34032
2011-09-03,13019,7538,6368,3542,2564,5356,1557,2630,2093,2815,1443,1610,3315,26925
2011-09-04,13807,9371,6980,3485,2923,5574,1825,2882,3548,2941,1454,1766,3760,30158
2011-09-05,12063,7545,6526,3130,1998,5279,1656,2159,2716,2670,1367,1676,3483,26134
2011-09-06,10804,8306,5335,2674,1904,4744,1482,2528,2917,2861,1272,1498,2565,24445
2011-09-07,10879,6992,6177,2826,2025,4550,1478,2117,2687,2188,1283,1654,3240,24048
2011-09-08,12294,8722,7230,3238,2300,5132,1624,2619,3472,2631,1651,1892,3687,28246
2011-09-09,14664,10427,7939,3873,3172,5718,1901,3085,4140,3202,2154,2028,3757,33030
2011-09-10,15086,11559,7987,4046,3068,6003,1969,3379,4457,3723,1676,2026,4285,34632
2011-09-11,10704,8492,6942,2835,2005,4214,1650,2435,3146,2911,1464,1708,3770,26138
2011-09-12,10089,8996,5560,2383,2000,4199,1507,2704,3739,2553,1338,1384,2838,24645
2011-09-13,9776,7365,6364,2186,1990,4250,1350,2172,2819,2374,1333,1783,3248,23505
2011-09-14,10061,8914,7368,2388,2216,3911,1546,2723,3671,2520,1604,1859,3905,26343
2011-09-15,11169,8672,7092,2813,2359,4335,1662,2550,3348,2774,1816,1664,3612,26933
2011-09-16,13587,10510,8098,3515,3343,4879,1850,3084,4109,3317,2261,1906,3931,32195
2011-09-17,14843,10658,6533,3670,3215,5734,2224,2987,4281,3390,1506,1511,3516,32034
2011-09-18,11168,8065,5134,2606,2242,4641,1679,2235,3152,2678,1285,1274,2575,24367
2011-09-19,10500,7056,5119,2558,2040,4157,1745,2075,2895,2086,1321,1415,2383,22675
2011-09-20,10185,6403,5208,2453,2145,4089,1498,1893,2510,2000,1437,1396,2375,21796
2011-09-21,9984,6554,5321,2366,2245,3861,1512,1911,2640,2003,1492,1473,2356,21859
2011-09-22,12504,7942,6260,3475,2774,4345,1910,2101,3168,2673,1646,1469,3145,26706
2011-09-23,14876,10062,7528,4059,3718,5157,1942,2835,4011,3216,2045,1676,3807,32466
2011-09-24,15644,10890,6694,4086,3473,5866,2219,3084,4171,3635,1592,1375,3727,33228
2011-09-25,11231,7635,5224,2846,2091,4463,1831,2219,2897,2519,1329,1240,2655,24090
2011-09-26,10813,6924,5051,2438,2148,4536,1691,2068,2640,2216,1262,1414,2375,22788
2011-09-27,10479,6453,5261,2581,2111,4220,1567,1751,2591,2111,1335,1492,2434,22193
2011-09-28,10203,6762,5418,2437,2144,3939,1683,1870,2727,2165,1333,1496,2589,22383
2011-09-29,12957,9333,7892,3623,2955,4568,1811,2608,3901,2824,2142,1909,3841,30182
2011-09-30,18020,12475,8817,5037,4064,6660,2259,3804,5030,3641,2266,2238,4313,39312
2011-10-01,17094,11153,8967,4685,3362,6569,2478,3324,4517,3312,1845,2196,4926,37214
2011-10-02,13097,9428,7930,3298,2153,5686,1960,2782,3687,2959,1634,2061,4235,30455
2011-10-03,12525,7671,5918,3200,2243,5310,1772,2118,2955,2598,1427,1725,2766,26114
2011-10-04,11262,8050,6601,2798,2082,4753,1629,2633,2835,2582,1446,1769,3386,25913
2011-10-05,11009,8057,7000,2690,2039,4666,1614,2343,3021,2693,1385,1856,3759,26066
2011-10-06,13365,9630,6990,3541,2823,5161,1840,2748,3782,3100,1719,1623,3648,29985
2011-10-07,16599,9984,9347,4604,3428,6237,2330,2991,4251,2742,2253,2082,5012,35930
2011-10-08,16507,10106,9327,4417,3281,6703,2106,3170,3500,3436,1766,1958,5603,35940
2011-10-09,13561,9623,6217,3572,2382,5687,1920,2507,3730,3386,1311,1516,3390,29401
2011-10-10,12035,8545,6847,3110,2249,4986,1690,2349,3317,2879,1462,1744,3641,27427
2011-10-11,11066,9193,7155,2609,2194,4600,1663,2611,3467,3115,1364,1914,3877,27414
2011-10-12,11244,8632,6240,2859,2168,4501,1716,2494,3365,2773,1628,1548,3064,26116
2011-10-13,13338,8488,8059,3337,2815,5229,1957,2473,3303,2712,1884,1965,4210,29885
2011-10-14,16285,11799,10342,4253,3543,6274,2215,3507,4866,3426,2411,2312,5619,38426
2011-10-15,16289,11864,7974,4250,3384,6370,2285,3469,4872,3523,1785,1893,4296,36127
2011-10-16,12373,8841,6378,2761,2176,5434,2002,2615,3243,2983,1491,1505,3382,27592
2011-10-17,10748,7826,5628,2494,2049,4463,1742,2225,3208,2393,1414,1379,2835,24202
2011-10-18,10247,7082,5112,2540,2026,4105,1576,1980,2793,2309,1448,1263,2401,22441
2011-10-19,10350,6850,5202,2654,1978,4097,1621,1864,2847,2139,1482,1240,2480,22402
2011-10-20,12600,7942,6588,3438,2958,4497,1707,2210,3247,2485,1770,1535,3283,27130
2011-10-21,15555,9982,7614,4243,3402,5939,1971,2789,4246,2947,2050,1851,3713,33151
2011-10-22,15709,10427,6740,4319,3124,6004,2262,2883,4277,3267,1800,1531,3409,32876
2011-10-23,11321,7832,5363,2878,2111,4550,1782,2047,3347,2438,1287,1290,2786,24516
2011-10-24,10278,6919,5240,2517,1958,4239,1564,1922,2720,2277,1308,1307,2625,22437
2011-10-25,9747,7055,5340,2343,1990,3792,1622,2021,2879,2155,1613,1367,2360,22142
2011-10-26,10419,6825,5738,2720,2099,4046,1554,1861,2881,2083,1626,1437,2675,22982
2011-10-27,11718,7734,7428,3162,2623,4208,1725,2234,3219,2281,2030,1912,3486,26880
2011-10-28,15724,9473,8022,4162,3375,5813,2374,2800,3761,2912,2336,1833,3853,33219
2011-10-29,16057,9647,6149,4227,3610,5903,2317,2696,3774,3177,1562,1418,3169,31853
2011-10-30,10191,7218,5286,2435,2258,3883,1615,1962,2843,2413,1311,1384,2591,22695
2011-10-31,11094,8384,6561,2774,1995,4734,1591,2577,3003,2804,1618,1764,3179,26039
2011-11-01,11227,7191,6390,2977,2071,4566,1613,2009,2833,2349,1270,1716,3404,24808
2011-11-02,11972,8193,7737,3014,2218,4999,1741,2170,3201,2822,1646,2041,4050,27902
2011-11-03,13252,7868,7476,3747,2383,5276,1846,1991,3380,2497,1792,1919,3765,28596
2011-11-04,16293,10807,9787,4515,3545,6189,2044,3356,4207,3244,2395,2411,4981,36887
2011-11-05,17402,11608,8877,4852,3435,6628,2487,3285,4612,3711,1729,1977,5171,37887
2011-11-06,12654,8943,5681,3284,2387,5137,1846,2625,3427,2891,1328,1362,2991,27278
